tiempo	I(t)
13.010000	0.113619
13.020000	0.113808
13.030000	0.113997
13.040000	0.114186
13.050000	0.114375
13.060000	0.114565
13.070000	0.114755
13.080000	0.114945
13.090000	0.115135
13.100000	0.115326
13.110000	0.115517
13.120000	0.115708
13.130000	0.115899
13.140000	0.116091
13.150000	0.116283
13.160000	0.116475
13.170000	0.116667
13.180000	0.116860
13.190000	0.117053
13.200000	0.117246
13.210000	0.117439
13.220000	0.117633
13.230000	0.117827
13.240000	0.118021
13.250000	0.118215
13.260000	0.118410
13.270000	0.118605
13.280000	0.118800
13.290000	0.118995
13.300000	0.119191
13.310000	0.119387
13.320000	0.119583
13.330000	0.119779
13.340000	0.119976
13.350000	0.120173
13.360000	0.120370
13.370000	0.120567
13.380000	0.120765
13.390000	0.120963
13.400000	0.121161
13.410000	0.121360
13.420000	0.121558
13.430000	0.121757
13.440000	0.121956
13.450000	0.122156
13.460000	0.122355
13.470000	0.122555
13.480000	0.122755
13.490000	0.122956
13.500000	0.123157
13.510000	0.123358
13.520000	0.123559
13.530000	0.123760
13.540000	0.123962
13.550000	0.124164
13.560000	0.124366
13.570000	0.124568
13.580000	0.124771
13.590000	0.124974
13.600000	0.125177
13.610000	0.125381
13.620000	0.125585
13.630000	0.125789
13.640000	0.125993
13.650000	0.126197
13.660000	0.126402
13.670000	0.126607
13.680000	0.126812
13.690000	0.127018
13.700000	0.127224
13.710000	0.127430
13.720000	0.127636
13.730000	0.127842
13.740000	0.128049
13.750000	0.128256
13.760000	0.128463
13.770000	0.128671
13.780000	0.128879
13.790000	0.129087
13.800000	0.129295
13.810000	0.129504
13.820000	0.129713
13.830000	0.129922
13.840000	0.130131
13.850000	0.130341
13.860000	0.130550
13.870000	0.130761
13.880000	0.130971
13.890000	0.131181
13.900000	0.131392
13.910000	0.131603
13.920000	0.131815
13.930000	0.132026
