tb	Rc
7.920000	2.858333
7.930000	2.858074
7.940000	2.857814
7.950000	2.857554
7.960000	2.857293
7.970000	2.857032
7.980000	2.856771
7.990000	2.856509
8.000000	2.856247
8.010000	2.855984
8.020000	2.855721
8.030000	2.855458
8.040000	2.855194
8.050000	2.854929
8.060000	2.854665
8.070000	2.854400
8.080000	2.854134
8.090000	2.853868
8.100000	2.853601
8.110000	2.853335
8.120000	2.853067
8.130000	2.852800
8.140000	2.852531
8.150000	2.852263
8.160000	2.851994
8.170000	2.851725
8.180000	2.851455
8.190000	2.851184
8.200000	2.850914
8.210000	2.850643
8.220000	2.850371
8.230000	2.850099
8.240000	2.849827
8.250000	2.849554
8.260000	2.849281
8.270000	2.849007
8.280000	2.848733
8.290000	2.848458
8.300000	2.848183
8.310000	2.847908
8.320000	2.847632
8.330000	2.847356
8.340000	2.847079
8.350000	2.846802
8.360000	2.846524
8.370000	2.846246
8.380000	2.845968
8.390000	2.845689
8.400000	2.845410
8.410000	2.845130
8.420000	2.844850
8.430000	2.844569
8.440000	2.844288
8.450000	2.844007
8.460000	2.843725
8.470000	2.843442
8.480000	2.843159
8.490000	2.842876
8.500000	2.842592
8.510000	2.842308
8.520000	2.842024
8.530000	2.841739
8.540000	2.841453
8.550000	2.841167
8.560000	2.840881
8.570000	2.840594
8.580000	2.840307
8.590000	2.840019
8.600000	2.839731
8.610000	2.839443
8.620000	2.839154
8.630000	2.838864
8.640000	2.838574
8.650000	2.838284
8.660000	2.837993
8.670000	2.837702
8.680000	2.837410
8.690000	2.837118
8.700000	2.836825
8.710000	2.836532
8.720000	2.836239
8.730000	2.835945
8.740000	2.835651
8.750000	2.835356
8.760000	2.835061
8.770000	2.834765
8.780000	2.834469
8.790000	2.834172
8.800000	2.833875
8.810000	2.833577
8.820000	2.833279
8.830000	2.832981
8.840000	2.832682
8.850000	2.832383
8.860000	2.832083
8.870000	2.831782
8.880000	2.831482
8.890000	2.831181
8.900000	2.830879
8.910000	2.830577
8.920000	2.830274
8.930000	2.829971
8.940000	2.829668
8.950000	2.829364
8.960000	2.829059
8.970000	2.828754
8.980000	2.828449
8.990000	2.828143
9.000000	2.827837
9.010000	2.827530
9.020000	2.827223
9.030000	2.826916
9.040000	2.826608
9.050000	2.826299
9.060000	2.825990
9.070000	2.825680
9.080000	2.825371
9.090000	2.825060
9.100000	2.824749
9.110000	2.824438
9.120000	2.824126
9.130000	2.823814
9.140000	2.823501
9.150000	2.823188
9.160000	2.822874
9.170000	2.822560
9.180000	2.822245
9.190000	2.821930
9.200000	2.821615
9.210000	2.821299
9.220000	2.820982
9.230000	2.820665
9.240000	2.820348
9.250000	2.820030
9.260000	2.819711
9.270000	2.819393
9.280000	2.819073
9.290000	2.818754
9.300000	2.818433
9.310000	2.818112
9.320000	2.817791
9.330000	2.817470
9.340000	2.817147
9.350000	2.816825
9.360000	2.816502
9.370000	2.816178
9.380000	2.815854
9.390000	2.815529
9.400000	2.815204
9.410000	2.814879
9.420000	2.814553
9.430000	2.814226
9.440000	2.813899
9.450000	2.813572
9.460000	2.813244
9.470000	2.812916
9.480000	2.812587
9.490000	2.812258
9.500000	2.811928
9.510000	2.811597
9.520000	2.811267
9.530000	2.810935
9.540000	2.810604
9.550000	2.810271
9.560000	2.809939
9.570000	2.809606
9.580000	2.809272
9.590000	2.808938
9.600000	2.808603
9.610000	2.808268
9.620000	2.807932
9.630000	2.807596
9.640000	2.807260
9.650000	2.806922
9.660000	2.806585
9.670000	2.806247
9.680000	2.805908
9.690000	2.805569
9.700000	2.805230
9.710000	2.804890
9.720000	2.804549
9.730000	2.804208
9.740000	2.803867
9.750000	2.803525
9.760000	2.803182
9.770000	2.802839
9.780000	2.802496
9.790000	2.802152
9.800000	2.801808
9.810000	2.801463
9.820000	2.801117
9.830000	2.800771
9.840000	2.800425
9.850000	2.800078
9.860000	2.799731
9.870000	2.799383
9.880000	2.799035
9.890000	2.798686
9.900000	2.798336
9.910000	2.797987
9.920000	2.797636
9.930000	2.797285
9.940000	2.796934
9.950000	2.796582
9.960000	2.796230
9.970000	2.795877
9.980000	2.795524
9.990000	2.795170
10.000000	2.794816
10.010000	2.794461
10.020000	2.794105
10.030000	2.793750
10.040000	2.793393
10.050000	2.793036
10.060000	2.792679
10.070000	2.792321
10.080000	2.791963
10.090000	2.791604
10.100000	2.791245
10.110000	2.790885
10.120000	2.790525
10.130000	2.790164
10.140000	2.789803
10.150000	2.789441
10.160000	2.789078
10.170000	2.788716
10.180000	2.788352
10.190000	2.787988
10.200000	2.787624
10.210000	2.787259
10.220000	2.786894
10.230000	2.786528
10.240000	2.786162
10.250000	2.785795
10.260000	2.785427
10.270000	2.785059
10.280000	2.784691
10.290000	2.784322
10.300000	2.783953
10.310000	2.783583
10.320000	2.783212
10.330000	2.782841
10.340000	2.782470
10.350000	2.782098
10.360000	2.781726
10.370000	2.781353
10.380000	2.780979
10.390000	2.780605
10.400000	2.780231
10.410000	2.779856
10.420000	2.779480
10.430000	2.779104
10.440000	2.778728
10.450000	2.778351
10.460000	2.777973
10.470000	2.777595
10.480000	2.777216
10.490000	2.776837
10.500000	2.776458
10.510000	2.776078
10.520000	2.775697
10.530000	2.775316
10.540000	2.774934
10.550000	2.774552
10.560000	2.774169
10.570000	2.773786
10.580000	2.773402
10.590000	2.773018
10.600000	2.772633
10.610000	2.772248
10.620000	2.771862
10.630000	2.771476
10.640000	2.771089
10.650000	2.770702
10.660000	2.770314
10.670000	2.769926
10.680000	2.769537
10.690000	2.769147
10.700000	2.768758
10.710000	2.768367
10.720000	2.767976
10.730000	2.767585
10.740000	2.767193
10.750000	2.766800
10.760000	2.766407
10.770000	2.766014
10.780000	2.765620
10.790000	2.765225
10.800000	2.764830
10.810000	2.764434
10.820000	2.764038
10.830000	2.763642
10.840000	2.763245
10.850000	2.762847
10.860000	2.762449
10.870000	2.762050
10.880000	2.761651
10.890000	2.761251
10.900000	2.760851
10.910000	2.760450
10.920000	2.760049
10.930000	2.759647
10.940000	2.759244
10.950000	2.758841
10.960000	2.758438
10.970000	2.758034
10.980000	2.757630
10.990000	2.757225
11.000000	2.756819
11.010000	2.756413
11.020000	2.756007
11.030000	2.755600
11.040000	2.755192
11.050000	2.754784
11.060000	2.754375
11.070000	2.753966
11.080000	2.753556
11.090000	2.753146
11.100000	2.752735
11.110000	2.752324
11.120000	2.751912
11.130000	2.751500
11.140000	2.751087
11.150000	2.750674
11.160000	2.750260
11.170000	2.749846
11.180000	2.749431
11.190000	2.749015
11.200000	2.748599
11.210000	2.748183
11.220000	2.747766
11.230000	2.747348
11.240000	2.746930
11.250000	2.746512
11.260000	2.746092
11.270000	2.745673
11.280000	2.745253
11.290000	2.744832
11.300000	2.744411
11.310000	2.743989
11.320000	2.743567
11.330000	2.743144
11.340000	2.742720
11.350000	2.742296
11.360000	2.741872
11.370000	2.741447
